round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer,window_size
5,0.0017090443686028532,0.0016719300393831945,1024,5,8,1,mse,adam,24
10,0.0001660024166422987,0.00017605800955928252,32,10,16,2,mse,adam,168
5,0.0001693353099824926,0.00017546299256665165,32,5,4,1,mse,rmsprop,24
10,0.00017262642141569582,0.00017430925045229306,32,10,8,1,mse,adam,168
20,0.001128356513852804,0.0011358385357192148,1024,20,8,1,mse,adam,168
5,0.0001747307471493314,0.0001809434430172426,32,5,8,2,mse,rmsprop,168
10,0.0027080842875360747,0.0026078964066155066,32,10,4,2,mse,sgd,24
10,0.00016661236927898072,0.00017439100191204973,32,10,8,2,mse,adam,24
20,0.002841497226405452,0.0027362243917669034,128,20,4,1,mse,sgd,1
5,0.0001731922779955833,0.0001759249030565746,128,5,8,1,mse,rmsprop,168
5,0.00017243424607000073,0.0001803161931070555,32,5,4,2,mse,rmsprop,168
5,0.002811800178180016,0.0027080187709181323,32,5,8,2,mse,sgd,24
5,0.00017919727208138748,0.00018160292409555472,32,5,4,2,mse,rmsprop,24
10,0.0027018098399534535,0.0026005549050076788,128,10,32,2,mse,sgd,1
5,0.0023344145193213593,0.0022856098028674297,1024,5,32,2,mse,adam,1
20,0.000328220155363764,0.0003546823446484677,1024,20,32,1,mse,adam,1
5,0.0017879681754288585,0.0018416808028527004,1024,5,16,1,mse,rmsprop,1
20,0.00017406643655340227,0.00017344085372171037,32,20,4,1,mse,rmsprop,168
10,0.0022460609590813163,0.0021809401191637988,32,10,8,1,mse,sgd,1
20,0.00017331216310347128,0.00017729981555321503,32,20,16,1,mse,rmsprop,24
10,0.00017051797961660972,0.00017478930116267857,32,10,16,2,mse,adam,1
5,0.0027350846892120785,0.0026349590145226054,32,5,4,2,mse,sgd,168
10,0.0022993054782987823,0.0022378157559995327,1024,10,4,2,mse,adam,168
5,0.002718015089087858,0.002663471802413323,1024,5,32,2,mse,sgd,1
5,0.002761229053996684,0.0026614264621729836,128,5,16,1,mse,sgd,1
5,0.0026802666214973073,0.0025807978059972808,32,5,32,2,mse,sgd,1
10,0.0027112586133120863,0.002609088936817996,1024,10,16,2,mse,sgd,168
5,0.0023964728765302605,0.0023413431464650728,1024,5,16,2,mse,adam,1
5,0.00016842678799612368,0.00018798689529870595,32,5,32,2,mse,rmsprop,24
20,0.0026646319546933476,0.0025649053998418997,1024,20,16,1,mse,sgd,1
10,0.00016942215782269474,0.00017473941257791195,32,10,8,1,mse,adam,24
10,0.0027577407828420965,0.0026546162171555477,1024,10,8,1,mse,sgd,168
20,0.00017569730340697402,0.00018107381892057463,1024,20,4,2,mse,rmsprop,24
5,0.00016845605478719435,0.0001762136919264753,32,5,16,2,mse,adam,168
5,0.00018507811028514647,0.00017817774108192647,128,5,32,1,mse,rmsprop,1
10,0.0014186753327055204,0.0014941524004941217,1024,10,32,2,mse,adam,168
5,0.00017372404686419443,0.0001771422395299732,32,5,32,2,mse,adam,24
10,0.0030132559036228483,0.002902902971043324,128,10,8,1,mse,sgd,1
5,0.0011527842222484467,0.0012908426658777676,1024,5,32,1,mse,rmsprop,1
20,0.00017400028119499586,0.00017748285767875914,1024,20,32,2,mse,adam,1
5,0.00016983275605546004,0.0001736120291754363,128,5,32,1,mse,adam,168
20,0.00019485241984805356,0.0002271473206863064,1024,20,16,2,mse,adam,168
20,0.00017112102107563634,0.00017851062026786395,32,20,32,1,mse,rmsprop,1
5,0.0027968070958991047,0.002738229054679363,1024,5,8,2,mse,sgd,168
10,0.0015267168280446366,0.0015124968361872855,1024,10,16,1,mse,adam,168
5,0.00018175155354411142,0.0001750440733386694,32,5,8,1,mse,adam,24
10,0.0019143016272363527,0.0019396262850641197,1024,10,4,2,mse,rmsprop,24
10,0.00016745764167682645,0.00017478241576275399,32,10,4,1,mse,adam,1
5,0.0024676571674807717,0.0023899427682249658,32,5,4,1,mse,sgd,168
10,0.00017602955972645452,0.00018502721727165324,128,10,16,2,mse,rmsprop,168
20,0.0017920960940133917,0.0017361155894037319,32,20,4,1,mse,sgd,1
5,0.002173144872111866,0.0021774451165941164,1024,5,16,2,mse,rmsprop,24
20,0.00018422537248667054,0.00017445818188782395,128,20,8,1,mse,rmsprop,168
20,0.00016509553136183512,0.00017382921954211655,32,20,8,2,mse,adam,1
5,0.00017461624137032954,0.00017556593666697058,32,5,32,1,mse,adam,24
10,0.00019027697059471142,0.00017602031912543263,32,10,4,1,mse,rmsprop,1
10,0.003072801455500412,0.00295720964013905,1024,10,4,1,mse,sgd,24
20,0.002254125529504641,0.0021806577208237934,32,20,8,1,mse,sgd,168
10,0.003348408908301611,0.003238639655685358,32,10,4,1,mse,sgd,168
10,0.002738637835617695,0.002635408443527835,1024,10,32,2,mse,sgd,1
5,0.0024595251665280996,0.0023686630695171147,128,5,4,1,mse,sgd,24
20,0.0027330985178460657,0.002630685184875254,1024,20,8,1,mse,sgd,1
5,0.00016932436878382877,0.0001777292594134627,32,5,8,2,mse,adam,1
20,0.002872541355811237,0.002765124797201663,1024,20,32,1,mse,sgd,24
10,0.002291070146331825,0.0022194302659925467,32,10,16,1,mse,sgd,168
20,0.0006456760236285281,0.0007329673407057821,1024,20,8,2,mse,adam,1
20,0.00016649114436685056,0.00017390639817945692,32,20,4,1,mse,adam,1
10,0.00016860317404190822,0.0001756062704541397,128,10,8,1,mse,rmsprop,1
5,0.0020833412580177186,0.002090957237837007,1024,5,8,2,mse,rmsprop,1
5,0.00320721791635914,0.003103353162209072,32,5,16,1,mse,sgd,24
20,0.002626275319782956,0.002527655377635731,128,20,32,2,mse,sgd,1
5,0.0026883588958255887,0.0025875830301134673,128,5,32,2,mse,sgd,24
5,0.002532414185084445,0.0024523333569012188,32,5,16,1,mse,sgd,168
20,0.0001658939855555594,0.0001735197164210673,32,20,16,1,mse,adam,24
5,0.00017001879523019154,0.00017926366736146365,128,5,32,1,mse,rmsprop,168
20,0.0026531846763671644,0.0025539740214471185,32,20,4,2,mse,sgd,168
10,0.00016775692536651876,0.00017266781290550795,128,10,8,1,mse,adam,24
10,0.002701211284999425,0.0025994954844449766,1024,10,32,2,mse,sgd,168
5,0.001446166052380065,0.0015381894389003307,1024,5,16,1,mse,rmsprop,24
5,0.00017630452095312215,0.00017941094641374416,32,5,16,1,mse,rmsprop,1
20,0.0001725476926632318,0.00017874979454610983,128,20,8,2,mse,rmsprop,168
10,0.00018322992100053642,0.00018881394573674114,128,10,32,2,mse,rmsprop,1
10,0.002660514420311397,0.0025605197410281293,1024,10,4,1,mse,sgd,1
10,0.00021912511500549214,0.00017907879067279232,128,10,32,1,mse,rmsprop,24
5,0.0023679653603574163,0.0023127922801604553,1024,5,16,2,mse,adam,168
5,0.0018302440013996135,0.0018143702273596012,1024,5,32,1,mse,adam,24
5,0.00016814928228940074,0.00017680381978356507,32,5,16,2,mse,adam,24
5,0.002747139660641551,0.0026889127805357523,1024,5,16,2,mse,sgd,168
20,0.0026491128015746694,0.0025510640051557834,32,20,8,2,mse,sgd,1
5,0.0016460327843290821,0.001608899805987862,1024,5,8,1,mse,adam,1
10,0.0022773544902598124,0.0022305562551051274,1024,10,8,2,mse,adam,1
5,0.0024338365964584443,0.002377798582163025,1024,5,4,2,mse,rmsprop,24
10,0.0026936601557364702,0.0025929338260839967,128,10,4,2,mse,sgd,168
5,0.00017111672335025355,0.00017552282466398912,128,5,32,2,mse,adam,168
10,0.00017493077406990313,0.00017579978918668128,32,10,32,1,mse,adam,1
