round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer,window_size
10,0.002410975096854747,0.0023920558841773127,1024,10,8,1,mse,sgd,1
10,0.00017243341811842218,0.00017194773043057595,32,10,4,2,mse,adam,1
10,0.002176933119590846,0.0021883459257937186,1024,10,8,2,mse,adam,1
10,0.0001728859802628336,0.00017867185423722364,32,10,8,2,mse,rmsprop,1
10,0.0001987777444257784,0.0001809254486874499,32,10,8,2,mse,rmsprop,24
10,0.00017367109871251217,0.00017257768469731814,32,10,4,1,mse,adam,24
20,0.0025969507022386043,0.0025779813952865006,32,20,16,2,mse,sgd,168
10,0.00017896640303682564,0.0001811709501329211,128,10,8,2,mse,rmsprop,24
10,0.0001750637131925907,0.0001736470667525264,32,10,32,2,mse,adam,24
5,0.00018214273729581627,0.0001797095460022155,32,5,32,1,mse,rmsprop,168
10,0.002418765027085223,0.002402803153728541,32,10,4,2,mse,sgd,24
5,0.0022175476238215654,0.0022032649114110806,128,5,8,1,mse,sgd,1
5,0.0001745573438692713,0.00017683403580886128,32,5,16,1,mse,adam,168
10,0.0020715992482095505,0.0020965501523423596,1024,10,8,2,mse,adam,168
20,0.0001879222345140875,0.00018579546288217206,1024,20,32,2,mse,rmsprop,1
10,0.0028106262217081454,0.0027910435311202762,1024,10,16,1,mse,sgd,168
20,0.0003765508302206114,0.0003901027354038667,1024,20,8,1,mse,adam,24
10,0.0024652560860735193,0.0024615563914547915,1024,10,8,2,mse,adam,24
20,0.00018663790694678254,0.0001812562787231832,1024,20,4,2,mse,rmsprop,168
5,0.00019811063522291725,0.00017894607732704486,128,5,8,2,mse,rmsprop,24
10,0.002727013885605022,0.002707052296367412,1024,10,32,2,mse,sgd,1
5,0.002286275590225351,0.002283046368253486,32,5,32,1,mse,sgd,24
5,0.002785090989370278,0.002819656115386957,1024,5,32,1,mse,sgd,168
5,0.00018084283432551434,0.00018155503344105192,128,5,8,2,mse,adam,24
10,0.0001771245986999519,0.000175184641837892,128,10,8,2,mse,adam,168
5,0.00017412328434411928,0.00017259361032140173,128,5,16,1,mse,adam,24
5,0.0025828922253512323,0.00256170361376201,32,5,16,2,mse,sgd,24
10,0.00017441530173763952,0.00017345834531525188,128,10,32,1,mse,adam,24
5,0.0016660190207839003,0.0016930571081252952,1024,5,32,1,mse,adam,24
20,0.0001809973345160146,0.00017351694528680128,32,20,4,1,mse,rmsprop,24
20,0.00019123355763674897,0.00018033568964372776,32,20,32,2,mse,rmsprop,1
10,0.0001767124068899835,0.0001755075755790429,128,10,4,1,mse,adam,168
10,0.00017862167907210758,0.00017593383682500236,32,10,8,1,mse,rmsprop,168
20,0.0013248998483064022,0.001351691826827332,1024,20,8,1,mse,adam,168
5,0.0026029950688981583,0.0026745788976856055,1024,5,4,2,mse,adam,1
20,0.0001913130429601082,0.00017501741045206477,128,20,4,2,mse,rmsprop,24
10,0.00017393092647285366,0.00017224885141970268,128,10,4,1,mse,rmsprop,1
10,0.00287003429265523,0.002850001565630269,1024,10,32,1,mse,sgd,168
20,0.0011309715611427735,0.0011271053351131154,32,20,4,1,mse,sgd,168
5,0.0015676795454440094,0.0015715214835928817,1024,5,4,1,mse,adam,24
5,0.0027004619933343964,0.0027459084410361594,1024,5,8,1,mse,sgd,1
10,0.0004228669602958206,0.0004989262700054031,1024,10,16,1,mse,rmsprop,1
20,0.0001802329759713928,0.0001710246209652434,128,20,4,2,mse,adam,24
10,0.00017711616452448686,0.0001766481018331568,128,10,8,2,mse,adam,1
20,0.002626957378376085,0.0026064834237131437,128,20,4,2,mse,sgd,1
10,0.00018029410863161548,0.00017914103081277698,32,10,8,2,mse,rmsprop,168
5,0.00018287151908428882,0.0001798186415284389,32,5,32,1,mse,rmsprop,24
20,0.00017244739809956392,0.00017231871359320024,32,20,8,1,mse,adam,1
5,0.0025980208077371687,0.0025779865002642744,128,5,8,2,mse,sgd,1
