round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer,window_size
50,0.00017752473856868435,0.00017192316550033334,128,10,2,1,mse,rmsprop,1
50,0.0003747232630743476,0.0004035484482226771,1024,5,2,1,mse,adam,1
50,0.00016469600808186621,0.00017148640944923547,128,5,2,1,mse,adam,1
50,0.0001690069941325944,0.00017229914601691045,128,5,16,1,mse,adam,1
50,0.00016895338434678542,0.00017367312616375997,128,10,8,1,mse,rmsprop,1
50,0.00017033141836395851,0.00017421138826483558,1024,15,4,1,mse,rmsprop,1
50,0.002020068864961139,0.0020304172575869588,1024,15,4,1,mse,sgd,1
