round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer,window_size
10,0.00018352210427792336,0.00017831830941080257,128,10,16,3,mse,adamax,24
10,0.00020097092556026902,0.0001785933797780331,128,10,4,2,mse,rmsprop,24
10,0.00020625340460971131,0.00018532632517049102,128,10,32,2,mse,rmsprop,24
10,0.00017516371144292304,0.00017174866122637318,128,10,4,4,mse,nadam,24
10,0.000179336834243697,0.00017204667780024822,128,10,4,1,mse,nadam,24
10,0.002591185073424535,0.0026103760715473793,128,10,8,4,mse,sgd,100
10,0.0001828090978763331,0.00017305599432179903,128,10,8,3,mse,nadam,24
10,0.002581933037988578,0.002600730044121852,128,10,32,2,mse,sgd,1
10,0.0002591965293912203,0.0001861197196616728,128,10,4,4,mse,rmsprop,100
10,0.00018019590269983593,0.00017381411462761117,128,10,32,1,mse,adamax,100
10,0.00022769450270411967,0.0001845876492847935,128,10,8,3,mse,rmsprop,24
10,0.00017810115734476377,0.00017254207119934563,128,10,8,1,mse,nadam,100
10,0.00017962580213001764,0.0001742768933654057,128,10,16,2,mse,adam,100
10,0.00017885875710083277,0.00017325796519055263,128,10,16,3,mse,nadam,100
10,0.00018747774095010349,0.0001923332109460306,128,10,32,3,mse,rmsprop,100
10,0.0025955726310005187,0.0026141208089628383,128,10,8,4,mse,sgd,1
10,0.00017981992081060372,0.00018038032264929436,128,10,8,2,mse,rmsprop,1
10,0.00018191843976778134,0.00017220556324115205,128,10,16,4,mse,nadam,24
10,0.00018433040204100972,0.00017674523247281464,128,10,16,2,mse,adamax,1
10,0.00019925893034831483,0.00018315507976410844,128,10,4,3,mse,rmsprop,100
10,0.0025829819078518165,0.0026019017278959547,128,10,32,3,mse,sgd,24
10,0.00017655418300870044,0.00017483269277669043,128,10,4,2,mse,rmsprop,100
10,0.0001771889996072657,0.00017325239704044242,128,10,8,1,mse,rmsprop,1
10,0.0001785621954864585,0.00017224665997989908,128,10,32,1,mse,adam,24
10,0.00017466799902734494,0.00016900527992758145,128,10,8,4,mse,adam,1
10,0.0001821211094283085,0.00017635765425771797,128,10,8,3,mse,adamax,1
10,0.0001772612591968824,0.00017298209360408457,128,10,16,2,mse,nadam,1
10,0.00018187500136624177,0.0001723288413281833,128,10,8,1,mse,nadam,24
10,0.00018193312349290347,0.0001744513223924608,128,10,16,1,mse,adamax,100
10,0.00018551949150425438,0.000180328367591439,128,10,4,2,mse,adamax,100
10,0.00019959315859632647,0.00018736804267722174,128,10,8,3,mse,rmsprop,1
10,0.00017470202256954722,0.0001696108816964103,128,10,16,4,mse,adam,1
10,0.00017789348687980618,0.0001714416246281864,128,10,4,4,mse,nadam,1
10,0.00018277645757962426,0.0001771636057322326,128,10,8,2,mse,adam,24
10,0.00017801722868494328,0.00017424617161522398,128,10,16,3,mse,adam,1
10,0.00017879368757606632,0.00017427122910743662,128,10,32,4,mse,adamax,1
10,0.00018067784726313887,0.0001742859379977529,128,10,4,1,mse,adamax,24
10,0.00018382547821559685,0.0001764235743214901,128,10,8,2,mse,adamax,100
10,0.00018570849089981324,0.00019048882835388155,128,10,8,4,mse,rmsprop,24
10,0.00018291414357903893,0.0001798341479787882,128,10,4,4,mse,adamax,100
10,0.002103284757400383,0.0021213844789571682,128,10,16,1,mse,sgd,100
10,0.00018411268510261621,0.00018735942549176927,128,10,32,2,mse,rmsprop,100
10,0.0024573103685848214,0.00247586832477551,128,10,32,2,mse,sgd,24
10,0.002645521357543351,0.002664653755866989,128,10,8,2,mse,sgd,1
10,0.00017765873706712348,0.0001736524295888973,128,10,32,2,mse,adam,24
10,0.002624777629509667,0.0026446062107564066,128,10,4,2,mse,sgd,1
10,0.0001776167918563278,0.00017133966998185266,128,10,16,1,mse,adam,100
10,0.0002020901829286881,0.00019080091937100871,128,10,16,3,mse,rmsprop,24
10,0.0025918901321209716,0.0026111059455084947,128,10,32,4,mse,sgd,1
10,0.0025906382025344815,0.0026103041147995734,128,10,8,4,mse,sgd,24
10,0.00017945962587373086,0.00017320370047027684,128,10,16,2,mse,nadam,100
10,0.00017612200324535344,0.00016861303582735564,128,10,4,4,mse,adam,100
10,0.00017495221465772449,0.00016946105928392104,128,10,16,4,mse,adam,100
10,0.0001794853741793114,0.00018325478521236785,128,10,16,2,mse,rmsprop,24
10,0.00018152137027042852,0.0001707816751162657,128,10,4,3,mse,nadam,24
