round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer,window_size
20,0.0001872905668255709,0.00018165752549022612,1024,20,4,2,mse,rmsprop,24
10,0.0018196906227183878,0.0019842205954219787,1024,10,32,4,mse,rmsprop,24
20,0.00016693225990702438,0.0001753234655649663,128,20,4,1,mse,rmsprop,24
15,0.0026534979330102414,0.0026973702054401694,1024,15,4,1,mse,sgd,1
5,0.0011700256373413625,0.0013312955693564647,1024,5,32,1,mse,rmsprop,1
15,0.0026598843069016386,0.0027030360211677323,1024,15,4,2,mse,sgd,24
5,0.00016504697578497427,0.0001763794827502972,128,5,16,1,mse,adam,24
5,0.002653352694931464,0.0027672543903889115,1024,5,4,2,mse,sgd,24
10,0.0025315034287754397,0.0025757067827078344,128,10,8,1,mse,sgd,1
20,0.00016288824416177826,0.00017113459855524864,128,20,8,4,mse,adam,24
20,0.00016942283512563986,0.00017406829290602906,128,20,4,2,mse,adam,1
15,0.0024467952546319803,0.0024862351446984644,128,15,4,2,mse,sgd,24
5,0.00016815918015649663,0.000179413221753513,128,5,32,1,mse,rmsprop,24
10,0.002370906132631275,0.0024096378415161654,1024,10,32,1,mse,sgd,1
15,0.002815780010273232,0.002862608972804658,1024,15,32,1,mse,sgd,1
10,0.00020331747517279264,0.00018919787933708917,128,10,8,4,mse,rmsprop,24
10,0.0002087878635310356,0.00025150277153201717,1024,10,32,2,mse,rmsprop,24
5,0.0025129025463924005,0.002556656823497036,1024,5,32,4,mse,rmsprop,1
10,0.0017908660966420935,0.0018710593081900132,1024,10,4,2,mse,adam,1
5,0.0025745427763396644,0.0026160910809315346,128,5,8,4,mse,sgd,24
5,0.002576823165160944,0.002618977888094282,128,5,16,2,mse,sgd,1
20,0.00016337837245531327,0.00017300212026331342,128,20,4,2,mse,adam,24
10,0.0010910855500691563,0.0012591800594792626,1024,10,16,2,mse,rmsprop,1
15,0.00031419156809801434,0.0001974804358165349,128,15,32,4,mse,rmsprop,24
15,0.0025759149639096343,0.0026173803953949445,128,15,4,2,mse,sgd,1
5,0.0026521334595916287,0.0027532860278548735,1024,5,16,2,mse,sgd,24
10,0.00016778019106755972,0.00017547909664380974,128,10,32,2,mse,adam,24
15,0.0025728801421265736,0.0026143626847858407,1024,15,4,4,mse,sgd,24
15,0.0002844951125206989,0.0003560214936000118,1024,15,16,2,mse,rmsprop,24
10,0.0025752641707850956,0.002617206474763159,128,10,4,4,mse,sgd,24
5,0.0026137701591257547,0.0027206139726583464,1024,5,4,1,mse,rmsprop,24
10,0.00016577384693516805,0.00017430001464280081,128,10,8,1,mse,adam,24
20,0.00022426588735123028,0.00023960183490648616,1024,20,4,4,mse,adam,1
