round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer,window_size
10,0.00018065922410566825,0.00017082965453209763,32,10,4,3,mse,adamax,100
10,0.00019389369849907008,0.00017193049203192322,32,10,32,1,mse,nadam,1
10,0.00019829689157326293,0.00017032310706293854,32,10,8,4,mse,adam,1
10,0.00018055879909261414,0.0001814358117835359,32,10,8,4,mse,rmsprop,100
10,0.00018001488487044112,0.00017099902745107832,32,10,8,3,mse,adam,100
10,0.00022007499997590146,0.00018445947179032866,32,10,8,3,mse,rmsprop,24
10,0.00020063477938423206,0.00017410030248881126,32,10,32,3,mse,nadam,1
10,0.00018107837788557395,0.00017385002683786174,32,10,32,3,mse,nadam,24
10,0.00020956357248986615,0.00017689003228005487,32,10,32,1,mse,rmsprop,100
10,0.0001796618692204425,0.00017244102589845773,32,10,32,4,mse,adamax,1
10,0.00018267071388292097,0.00017376145136861653,32,10,32,1,mse,adam,1
10,0.00018082598761707261,0.0001791345518857698,32,10,8,3,mse,rmsprop,1
10,0.00018411978786210355,0.0001725808295349772,32,10,32,4,mse,adam,24
10,0.00018232240420402882,0.00017189276490814652,32,10,8,1,mse,adam,24
10,0.0001868570532898716,0.00017422220952574425,32,10,16,3,mse,adamax,24
10,0.00018401515318742064,0.0001733082670829158,32,10,8,2,mse,adamax,100
10,0.00018127264650849397,0.00017050793976166066,32,10,4,2,mse,nadam,1
10,0.0002166372951302814,0.0001855648822542556,32,10,16,4,mse,rmsprop,24
10,0.00018314302395531116,0.00017232103948558388,32,10,32,1,mse,adamax,24
10,0.00018811323542768462,0.00017336150178349168,32,10,8,1,mse,rmsprop,24
10,0.00018070863588608878,0.00017119598870255528,32,10,8,4,mse,adam,100
10,0.00018791773208594182,0.00017257617447252743,32,10,32,3,mse,adamax,1
10,0.0001846164616922932,0.00017197224409355974,32,10,8,4,mse,adam,24
10,0.00018457259085465414,0.00017246676116630682,32,10,8,3,mse,adamax,24
10,0.00018307497782081054,0.00017241911884262497,32,10,16,2,mse,adamax,1
10,0.00018906992321316142,0.00017195577785276552,32,10,8,2,mse,nadam,100
10,0.00018566857764381597,0.00017485442565622677,32,10,4,2,mse,adamax,1
10,0.00017851162264153955,0.00017285991985026777,32,10,16,4,mse,adam,100
10,0.00017980727338838862,0.00017448968813841266,32,10,32,4,mse,adamax,24
10,0.00018108170656340754,0.00019074470454294361,32,10,32,4,mse,rmsprop,1
10,0.0001806551066490681,0.00017212168955255336,32,10,16,4,mse,nadam,100
10,0.00018203825553115102,0.0001711496364165144,32,10,4,3,mse,nadam,1
10,0.00018127881851534903,0.0001705998986174423,32,10,8,2,mse,adam,100
10,0.00019579887527462184,0.0001767964364649498,32,10,8,2,mse,rmsprop,100
10,0.00017943003596364884,0.00017101710730750992,32,10,8,4,mse,adamax,100
10,0.00018217666856557737,0.00017371777806048027,32,10,32,4,mse,adamax,100
10,0.00018168099136538899,0.00017116480154119815,32,10,4,1,mse,nadam,24
10,0.00019105590888521436,0.00017514973492222647,32,10,16,1,mse,rmsprop,100
10,0.00018376245343409343,0.00017057433498691597,32,10,4,1,mse,adamax,1
10,0.00018461229059063517,0.00017089756554733597,32,10,4,1,mse,adamax,100
10,0.00018513424036829544,0.00017341030507085682,32,10,8,1,mse,rmsprop,100
10,0.00018261192905119248,0.00018139294378105981,32,10,4,4,mse,rmsprop,1
10,0.00018700283796481486,0.00017180022455601533,32,10,8,3,mse,nadam,100
10,0.00017847483832003074,0.00017174758853352932,32,10,16,4,mse,adam,1
10,0.00018892715695904594,0.00017187976837899292,32,10,8,4,mse,nadam,1
10,0.00018447174817191016,0.00017981601137183404,32,10,16,2,mse,rmsprop,1
10,0.0001830332092094106,0.00017319827325970263,32,10,16,3,mse,adamax,100
10,0.00020985109013488905,0.00017571362123173882,32,10,4,2,mse,rmsprop,100
10,0.00018926579674778327,0.00017206400722691978,32,10,8,3,mse,nadam,1
10,0.00017992489026513465,0.0001717081360289818,32,10,8,2,mse,nadam,1
10,0.00019280060485372984,0.0001835366777574567,32,10,16,3,mse,rmsprop,24
10,0.00018257993728300047,0.0001715484912989493,32,10,8,1,mse,nadam,100
10,0.0001820118504206327,0.00017351739541600513,32,10,32,4,mse,nadam,100
10,0.00018244704773150868,0.00017478598110420176,32,10,16,3,mse,adamax,1
10,0.000186325463335664,0.00017241151880489789,32,10,32,2,mse,adamax,1
10,0.0001844893444219581,0.00017238527294485075,32,10,4,1,mse,rmsprop,24
10,0.00018884359632877491,0.00017353777905222554,32,10,32,4,mse,adam,100
10,0.00018573366653130136,0.00017201374038429022,32,10,8,1,mse,adamax,24
10,0.00022199104022959106,0.00017971321950664479,32,10,4,4,mse,rmsprop,100
10,0.00017893200385358572,0.00017196975181755494,32,10,16,3,mse,adam,100
10,0.00018138927933686937,0.00017223217458442843,32,10,16,3,mse,nadam,24
10,0.00018037237448823828,0.00017334229944086001,32,10,32,2,mse,adam,1
10,0.00018517673143678303,0.00017512863700512,32,10,32,3,mse,adamax,100
10,0.00018424153767888362,0.00017101533943502767,32,10,4,4,mse,adam,24
10,0.00018611872032012438,0.00018200127799576627,32,10,32,2,mse,rmsprop,1
10,0.0001805047201124881,0.00018115173933948192,32,10,8,4,mse,rmsprop,24
10,0.00020134325230501104,0.0001856897068909762,32,10,16,4,mse,rmsprop,100
10,0.0001806121676610471,0.00017346070076464166,32,10,16,2,mse,nadam,100
10,0.00018370789967053823,0.00017762702603162537,32,10,8,2,mse,rmsprop,24
