round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer
5,0.0035517430783358244,0.0037911074334412297,32,5,16,1,mse,sgd
10,0.016983751477049103,0.01650022949805583,1024,10,16,1,mse,sgd
