round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer,window_size
20,0.002136015232288055,0.002204410709520865,32,20,16,1,mse,sgd,24
15,0.00017952831081708627,0.0001970607354931824,1024,15,8,2,mse,rmsprop,24
10,0.00017496562869989902,0.0001983913436994156,128,10,32,4,mse,rmsprop,24
10,0.0025504080909226857,0.0026192429117860346,128,10,32,4,mse,sgd,168
10,0.0004700529028732737,0.0005465765612937374,1024,10,8,1,mse,rmsprop,1
40,0.00018033308449790986,0.000174454683136706,32,40,4,2,mse,rmsprop,24
10,0.0021554609812316824,0.0022345999286544765,1024,10,32,4,mse,rmsprop,1
10,0.0001742860374546275,0.00017438897937510238,128,10,16,2,mse,adam,24
10,0.0025492185854919178,0.002618963822982772,32,10,8,4,mse,sgd,24
20,0.002554566253344949,0.0026233658937308804,128,20,16,2,mse,sgd,168
5,0.0010267682238453502,0.0011982848668887199,1024,5,16,1,mse,rmsprop,24
40,0.00017371141855956177,0.0001764912340397157,32,40,16,4,mse,rmsprop,168
15,0.0005613959416923396,0.000640464489203528,1024,15,32,1,mse,adam,168
15,0.00028411573514934167,0.0007416881759845566,1024,15,32,4,mse,adam,168
5,0.0025519282007180066,0.0026203683237035905,32,5,4,4,mse,sgd,1
10,0.0019536153431005177,0.002040635744913084,1024,10,8,2,mse,adam,1
15,0.00017365563331298557,0.00017389825887832732,32,15,4,1,mse,rmsprop,24
20,0.00017497014100091706,0.00017256969874533006,128,20,16,2,mse,adam,1
5,0.00017205931572900537,0.0001742501819381674,32,5,32,4,mse,adam,24
20,0.00018191828322974357,0.00017259617234779867,32,20,8,4,mse,adam,1
40,0.00017645236584556967,0.00017316516535747736,32,40,4,2,mse,adam,1
40,0.0024230867479848412,0.0024881919671348148,1024,40,32,2,mse,sgd,1
20,0.0018732173520907725,0.0019345970359737862,32,20,32,1,mse,sgd,168
5,0.0002146483587778071,0.00018311868682015223,32,5,4,4,mse,rmsprop,168
15,0.00017220600019890567,0.0001727676970585761,32,15,8,1,mse,adam,168
20,0.0002032066428499772,0.00021218636706421865,1024,20,32,4,mse,rmsprop,1
15,0.00017201552018197676,0.00017280095813689255,32,15,32,2,mse,adam,168
20,0.0019896816320393363,0.002044736586449598,128,20,4,1,mse,sgd,24
10,0.0025476793273004777,0.0026162729288717766,128,10,4,4,mse,sgd,24
40,0.0001774187502686572,0.0001744016573582404,32,40,16,1,mse,rmsprop,168
