round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer,window_size
5,0.0023864519217177663,0.0023596446669816844,1024,5,2,2,mse,rmsprop,1
10,0.00020683063531463513,0.00017698917424813243,128,10,16,1,mse,rmsprop,1
5,0.0024110242813354162,0.0023934154121481466,1024,5,4,1,mse,sgd,1
15,0.0013064401597647473,0.0012797179765682773,1024,15,2,1,mse,adam,1
15,0.0006433071253338237,0.000724390185415998,1024,15,4,2,mse,rmsprop,1
10,0.00017677368724647698,0.00017988694755335843,128,10,2,2,mse,adam,1
10,0.0009343814012673161,0.001027119548341103,1024,10,8,2,mse,rmsprop,1
5,0.00020782311081613306,0.00018469024209444846,128,5,16,2,mse,rmsprop,1
15,0.0001786706214176709,0.00018772512583733298,1024,15,16,2,mse,rmsprop,1
15,0.0018621792767830718,0.0018473710541429033,1024,15,4,2,mse,adam,1
15,0.002706099748950719,0.002623909151729041,128,15,8,2,mse,sgd,1
10,0.001808851878828461,0.0018203918576776164,1024,10,4,1,mse,rmsprop,1
5,0.002581374418662316,0.002506418031491666,128,5,16,1,mse,sgd,1
15,0.0006366354890072011,0.0006676523852363113,1024,15,2,1,mse,rmsprop,1
