round_epochs,val_loss,loss,activation,batch_size,epochs,first_lstm,layers,loss_f,optimizer
1,0.02386607079486153,0.04080582766891748,tanh,32,1,20,3,mae,nadam
1,0.02603491853543309,0.05186183890149011,tanh,32,1,5,2,mae,adam
1,0.005699061153965707,0.003191272672291807,tanh,32,1,50,2,mse,rmsprop
1,0.002072676091231044,0.006071981060894107,tanh,32,1,5,2,mse,rmsprop
1,0.0012224907932718834,0.006504434884403453,tanh,32,1,20,4,mse,adam
1,0.0017104420348030822,0.003913037719505337,relu,32,1,5,1,mse,rmsprop
1,0.026239719396094305,0.04519580825552247,tanh,32,1,5,3,mae,nadam
1,0.0011798570793866482,0.00386132120043265,tanh,32,1,50,3,mse,rmsprop
1,0.0010406342513086513,0.006540185398935798,relu,32,1,100,4,mse,adam
1,0.04959082574181079,0.04706648651868077,tanh,32,1,100,3,mae,rmsprop
1,0.0013053174266165943,0.010044178847518194,tanh,32,1,5,3,mse,adam
1,0.02843354468402678,0.051706543864277844,relu,32,1,50,4,mae,adam
1,0.036881975274034126,0.06687635526463792,relu,32,1,20,4,mae,adamax
1,0.0017304563310381338,0.004878573119219389,relu,32,1,20,3,mse,nadam
1,0.03179868262845049,0.043396442969714163,tanh,32,1,100,2,mae,rmsprop
1,0.0011761068032222694,0.005154757744351442,tanh,32,1,20,3,mse,adamax
1,0.002508133987022267,0.010220517302205386,tanh,32,1,5,4,mse,rmsprop
1,0.001231660879518873,0.00650819911733478,relu,32,1,20,3,mse,adam
1,0.03370840401622027,0.05795643476659965,relu,32,1,20,4,mae,rmsprop
1,0.03145832132609474,0.03819921841173114,relu,32,1,20,1,mae,nadam
1,0.022482307016358477,0.03583271597368853,relu,32,1,5,1,mse,adam
1,0.024621876343820334,0.046418615363517435,tanh,32,1,20,4,mae,adam
1,0.02173033705194464,0.04192851544572223,tanh,32,1,50,4,mae,adam
1,0.02220608110342491,0.0437706040264648,tanh,32,1,20,3,mae,adam
1,0.002437769449215633,0.006010382522126696,relu,32,1,5,1,mse,adamax
1,0.0010133990917113238,0.00259537612147046,tanh,32,1,100,2,mse,adamax
1,0.026542067584429403,0.03871520158955402,tanh,32,1,20,2,mae,adam
1,0.03030616550831841,0.05275360686692365,relu,32,1,50,3,mae,adam
1,0.043110320998499756,0.043029242768703166,tanh,32,1,50,2,mae,rmsprop
1,0.030548102332158687,0.04931353496455302,tanh,32,1,5,2,mae,adamax
1,0.007205631997063284,0.003845010108061878,tanh,32,1,50,4,mse,nadam
1,0.002717400198002839,0.010242874835889513,relu,32,1,5,2,mse,adam
1,0.039343660295223654,0.054727041050444555,relu,32,1,20,3,mae,rmsprop
1,0.020734030710880293,0.0384223639744248,tanh,32,1,100,4,mae,adamax
1,0.03896506757872438,0.06622512134456901,relu,32,1,5,2,mae,adam
1,0.02467149297537988,0.04231527105320978,relu,32,1,50,3,mae,nadam
1,0.06521443122888498,0.044314970540339324,tanh,32,1,50,3,mae,rmsprop
1,0.0014075235922848014,0.0037539058327214847,tanh,32,1,20,1,mse,adamax
1,0.0012643067690496221,0.0030861296161891196,tanh,32,1,20,1,mse,rmsprop
1,0.02531966965458264,0.04178738571196545,relu,32,1,20,2,mae,nadam
1,0.0024033410265730136,0.0033091053528926453,tanh,32,1,20,2,mse,nadam
1,0.046424368409779086,0.03955043155800652,tanh,32,1,20,1,mae,rmsprop
1,0.0016977934738881587,0.008304735818141784,tanh,32,1,5,3,mse,rmsprop
1,0.0011276816366925793,0.004074046425355376,tanh,32,1,50,3,mse,adamax
1,0.0019327158125665906,0.0066457497856066755,relu,32,1,50,3,mse,adamax
1,0.0011962725482660731,0.0027916469556914826,tanh,32,1,5,1,mse,adam
1,0.002342667785344506,0.008117771670986089,relu,32,1,5,3,mse,nadam
1,0.022163577736632755,0.044302689672446875,relu,32,1,100,4,mae,adam
